ranking,bookname,authors
1,우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ,지은이: 김초엽
2,달러구트 꿈 백화점.이미예 장편소설 ,지은이: 이미예
3,지구에서 한아뿐 :정세랑 장편소설 ,지은이: 정세랑
4,"시선으로부터, :정세랑 장편소설 ",지은이: 정세랑
5,아몬드 :손원평 장편소설 ,지은이: 손원평
6,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑
7,목소리를 드릴게요 :정세랑 소설집 ,지은이: 정세랑
8,나미야 잡화점의 기적 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥
9,선량한 차별주의자 ,김지혜 지음
9,쇼코의 미소 :최은영 소설 ,지은이: 최은영
11,천 개의 파랑 :천선란 장편소설 ,지은이: 천선란
12,일의 기쁨과 슬픔 :장류진 소설집 ,지은이: 장류진
13,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김
14,"사피엔스 :유인원에서 사이보그까지, 인간 역사의 대담하고 위대한 질문 ",지은이: 유발 하라리 ;옮긴이: 조현욱
15,내게 무해한 사람 :최은영 소설 ,지은이: 최은영
16,소년이 온다 :한강 장편소설 ,지은이: 한강
17,(나를 숨 쉬게 하는) 보통의 언어들 ,김이나 지음
18,옥상에서 만나요 :정세랑 소설집 ,지은이: 정세랑
19,나는 소망한다 내게 금지된 것을 :양귀자 장편소설 ,지은이: 양귀자
20,채식주의자:한강 연작소설,한강
21,팩트풀니스 :우리가 세상을 오해하는 10가지 이유와 세상이 생각보다 괜찮은 이유 ,"지은이: 한스 로슬링,옮긴이: 이창신"
22,역사의 쓸모 :자유롭고 떳떳한 삶을 위한 22가지 통찰 ,최태성 지음
23,바깥은 여름 :김애란 소설 ,지은이: 김애란
23,12가지 인생의 법칙 :혼돈의 해독제 ,조던 B. 피터슨 지음 ;강주헌 옮김
25,보건교사 안은영 :정세랑 장편소설 ,지은이: 정세랑
26,미움받을 용기 :자유롭고 행복한 삶을 위한 아들러의 가르침 ,"기시미 이치로,전경아 옮김"
27,돌이킬 수 있는 =문목하 장편소설 /Eversible ,지은이: 문목하
28,여행의 이유 :김영하 산문 ,지은이: 김영하
28,돌이킬 수 없는 약속 :야쿠마루 가쿠 장편소설 ,저자: 야쿠마루 가쿠 ;옮긴이: 김성미
30,프리즘 :손원평 장편소설 ,지은이: 손원평
31,언어의 온도 :말과 글에는 나름의 따뜻함과 차가움이 있다 ,지은이: 이기주
32,어린이라는 세계 :김소영 에세이 ,지은이: 김소영
33,봉제인형 살인사건 :다니엘 콜 장편소설 ,저자: 다니엘 콜 ;옮긴이: 유혜인
34,종의 기원 =정유정 장편소설 /The origin of species ,지은이: 정유정
35,미라클모닝 :당신의 하루를 바꾸는 기적 아침 6분이면 충분하다 ,할 엘로드 지음 ;김현수 옮김
36,"자존감 수업 :하루에 하나, 나를 사랑하게 되는 자존감 회복 훈련 ",윤홍균 지음
37,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ,팀 페리스 지음 ;정지현 옮김
37,나의 하루는 4시 30분에 시작된다 :하루를 두 배로 사는 단 하나의 습관 ,김유진 지음
37,"칵테일, 러브, 좀비 ",지은이: 조예은
40,죽은 자의 집 청소 ,김완 지음
41,죽고 싶지만 떡볶이는 먹고 싶어 :백세희 에세이 ,지은이: 백세희
42,아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ,제임스 클리어 지음 ;이한이 옮김
43,가면산장 살인사건 ,지은이: 히가시노 게이고 ;옮긴이: 김난주
44,우리가 사랑한 내일들 :유선애 인터뷰집 ,지은이: 유선애
44,파과 :구병모 장편소설 ,지은이: 구병모
46,나는 나로 살기로 했다 :냉담한 현실에서 어른살이를 위한 to do list ,글·그림: 김수현
47,하버드 상위 1퍼센트의 비밀 :신호를 차단하고 깊이 몰입하라 ,정주영 지음
48,비행운 :김애란 소설집 ,지은이: 김애란
49,기분이 태도가 되지 않게 :기분 따라 행동하다 손해 보는 당신을 위한 심리 수업 ,레몬심리 지음 ;박영란 옮김
49,날씨가 좋으면 찾아가겠어요 :이도우 장편소설 ,지은이: 이도우
49,여름의 빌라 :백수린 소설 ,지은이: 백수린
52,해가 지는 곳으로 :최진영 장편소설 ,지은이: 최진영
53,이상한 정상가족 :자율적 개인과 열린 공동체를 그리며 ,김희경 지음
54,녹나무의 파수꾼 =The camphorwood custodian ,저자: 히가시노 게이고 ;옮긴이: 양윤옥
55,연년세세 :황정은 연작소설 ,지은이: 황정은
56,부지런한 사랑 :이슬아 에세이 ,지은이: 이슬아
56,"총, 균, 쇠:무기·병균·금속은 인류의 운명을 어떻게 바꿨는가",재레드 다이아몬드 지음;김진준 옮김
58,당신이 옳다 :정혜신의 적정심리학 ,지은이: 정혜신
58,어떤 물질의 사랑 :천선란 소설집 ,지은이: 천선란
60,어른의 어휘력 :말에 품격을 더하고 세상을 올바르게 이해하는 힘 ,유선경 지음
61,일인칭 단수 :무라카미 하루키 소설 ,지은이: 무라카미 하루키 ;옮긴이: 홍은주
62,대도시의 사랑법 :박상영 연작소설 ,지은이: 박상영
62,명랑한 은둔자 ,지은이: 캐럴라인 냅 ;옮긴이: 김명남
64,더 셜리 클럽 :박서련 장편소설 ,지은이: 박서련
64,라플라스의 마녀 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥
64,아가씨와 밤 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란
64,왜 나는 너를 사랑하는가,알랭 드 보통 [지음];정영목 옮김
64,붕대 감기 :윤이형 소설 ,지은이: 윤이형
64,그 환자 ,지은이: 재스퍼 드윗 ;옮긴이: 서은원
70,트렌드 코리아 2021 :팬데믹 위기에 대응하는 전략은 무엇인가? ,"지은이: 김난도,한다혜"
70,매우 예민한 사람들을 위한 책 :뇌과학과 정신의학이 들려주는 당신 마음에 대한 이야기 ,전홍진 지음
70,부의 추월차선 :부자들이 말해 주지 않는 진정한 부를 얻는 방법 ,엠제이 드마코 지음 ;신소영 옮김
73,82년생 김지영 :조남주 장편소설 ,지은이: 조남주
74,7년의 밤 :정유정 장편소설 ,지은이: 정유정
74,코스모스 :특별판 ,칼 세이건 지음 ;홍승수 옮김
74,사이보그가 되다 ,"지은이: 김초엽,김원영"
77,스노볼 드라이브 :조예은 장편소설 ,지은이: 조예은
77,우울할 땐 뇌과학 ,앨릭스 코브 지음 ;정지인 옮김
77,나는 내 파이를 구할 뿐 인류를 구하러 온 게 아니라고 :자기 몫을 되찾고 싶은 여성들을 위한 야망 에세이 ,김진아 지음
80,더 해빙 =부와 행운을 끌어당기는 힘 /The having ,"이서윤,홍주연 지음"
81,방구석 미술관 :가볍고 편하게 시작하는 유쾌한 교양 미술 ,조원재 지음
82,사서함 110호의 우편물 :이도우 장편소설 ,지은이: 이도우
82,모순 :양귀자 장편소설 ,지은이: 양귀자
82,"(간단함, 병맛, 솔직함으로 기업의 흥망성쇠를 좌우하는) 90년생이 온다 ",임홍택 지음
85,아가미 :구병모 장편소설 ,지은이: 구병모
85,돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ,지은이: 김승호
87,철학은 어떻게 삶의 무기가 되는가 :불확실한 삶을 돌파하는 50가지 생각 도구 ,야마구치 슈 지음 ;김윤경 옮김
88,디디의 우산 :황정은 연작소설 ,지은이: 황정은
88,꽃을 보듯 너를 본다 :나태주 인터넷 시집 ,지은이: 나태주
88,존리의 부자되기 습관 :대한민국 경제독립 액션 플랜 ,존리 지음
91,살고 싶다는 농담 :허지웅 에세이 ,지은이: 허지웅
92,인간 실격,다자이 오사무 지음;김춘미 옮김
93,1cm 다이빙 ,"지은이: 장태수,조문정"
94,보건교사 안은영 :정세랑 장편소설 ,지은이: 정세랑
94,오늘은 이만 좀 쉴게요 ,지은이: 손힘찬 ;삽화: 이다영
96,모래알만 한 진실이라도 :박완서 에세이 ,지은이: 박완서
97,미드나잇 선 ,스테프니 메이어 지음 ;심연희 옮김
98,동급생 ,프레드 울만 지음 ;황보석 옮김
99,멋진 신세계 ,올더스 헉슬리 지음 ;안정효 옮김
99,(비전공자를 위한 이해할 수 있는) IT 지식 ,최원영 지음
101,아몬드 :손원평 장편소설 ,지은이: 손원평
102,최선의 삶 :임솔아 장편소설 ,지은이: 임솔아
102,키르케 :매들린 밀러 장편소설 ,지은이: 매들린 밀러 ;옮긴이: 이은선
102,지쳤거나 좋아하는 게 없거나 ,글배우 지음
105,트렌드 코리아 2021 :팬데믹 위기에 대응하는 전략은 무엇인가? ,"지은이: 김난도,한다혜"
105,(주린이도 술술 읽는) 친절한 주식책 :주식 왕초보가 꼭 알아야 할 기본 ,"최정희,이슬기 지음"
105,추리소설가의 살인사건 ,저자: 히가시노 게이고 ;옮긴이: 민경욱
108,블랙 쇼맨과 이름 없는 마을의 살인 ,지은이: 히가시노 게이고 ;옮긴이: 최고은
109,구의 증명 :최진영 소설 ,지은이: 최진영
109,부자 아빠 가난한 아빠 :20주년 특별 기념판 ,지은이: 로버트 기요사키 ;옮긴이: 안진환
111,위저드 베이커리 =구병모 장편소설 /Wizard bakery ,지은이: 구병모
112,정의란 무엇인가 ,저자: 마이클 샌델 ;역자: 이창신
113,무례한 사람에게 웃으며 대처하는 법 :인생 자체는 긍정적으로 개소리에는 단호하게 ,정문정 지음
113,(50대 사건으로 보는) 돈의 역사 =The history of money ,홍춘욱 지음
113,덧니가 보고 싶어 :정세랑 장편소설 ,지은이: 정세랑
116,상관없는 거 아닌가? :장기하 산문 ,지은이: 장기하
116,"총, 균, 쇠 ",재레드 다이아몬드 지음 ;김진준 옮김
116,지적 대화를 위한 넓고 얕은 지식 1 - 현실 편 : 역사 / 경제 / 정치 / 사회 / 윤리,채사장 (지은이)
119,어디서 살 것인가우리가 살고 싶은 곳의 기준을 바꾸다,유현준 지음
119,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하
119,파과 :구병모 장편소설 ,지은이: 구병모
119,"스물아홉 생일, 1년 후 죽기로 결심했다 ",하야마 아마리 지음 ;장은주 옮김
123,정의란 무엇인가 ,지은이: 마이클 샌델 ;옮긴이: 김명철
123,좋은 사람에게만 좋은 사람이면 돼 ,김재식 지음
125,언스크립티드 :부의 추월차선 완결판 ,엠제이 드마코 지음 ;안시열 옮김
126,도시는 무엇으로 사는가 :도시를 보는 열다섯 가지 인문적 시선 ,유현준 지음
126,상실의 시대 :무라카미 하루키 장편소설 ,지은이: 무라카미 하루키 ;옮긴이: 유유정
126,미드나잇 선 ,스테프니 메이어 지음 ;심연희 옮김
129,주린이가 가장 알고 싶은 최다질문 top 77 :'염블리' 염승환과 함께라면 주식이 쉽고 재미있다 ,염승환 지음
129,존리의 금융문맹 탈출 :대한민국 경제독립 프로젝트 ,존리 지음
129,지적 대화를 위한 넓고 얕은 지식 0 :지혜를 찾아 138억 년을 달리는 시간 여행서 ,채사장 지음
132,어떻게 살 것인가 ,지은이: 유시민
132,내가 원하는 것을 나도 모를 때 :잃어버린 나를 찾는 인생의 문장들 ,전승환 지음
132,마음챙김의 시 ,류시화 엮음
132,우리가 우리를 우리라고 부를 때 :N번방 추적기와 우리의 이야기 ,추적단 불꽃 지음
136,2030 축의 전환 :새로운 부와 힘을 탄생시킬 8가지 거대한 물결 ,마우로 기옌 지음 ;우진하 옮김
136,레몬 :권여선 장편소설 ,지은이: 권여선
136,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애
136,화이트 호스 =강화길 소설 /White horse ,지은이: 강화길
136,"나는 무조건 합격하는 공부만 한다 :26살, 9개월 만에 사법시험을 패스한 이윤규 변호사의 패턴 공부법 ",이윤규 지음
136,숨 :테드 창 소설 ,지은이: 테드 창 ;옮긴이: 김상훈
142,시작의 기술 :침대에 누워서 걱정만 하는 게으른 완벽주의자를 위한 7가지 무기 ,개리 비숍 지음 ;이지연 옮김
142,나도 아직 나를 모른다 :뇌과학과 임상심리학이 부서진 마음에게 전하는 말 ,허지원 지음
142,주식투자 무작정 따라하기 =Stock market investing ,윤재수 지음
142,홀로서기 심리학 :이제는 흔들리지 않고 삶의 중심을 잡고 싶다면 ,지은이: 라라 E. 필딩 ;일러스트: 최연주
146,이기적 유전자 :진화론의 새로운 패러다임 ,리처드 도킨스 지음 ;이상임 옮김
146,곰탕 :김영탁 장편소설 ,지은이: 김영탁
146,개인주의자 선언 :판사 문유석의 일상유감 ,지은이: 문유석
146,죽여 마땅한 사람들 ,피터 스완슨 지음 ;노진선 옮김
150,두 번째 지구는 없다 ,글·그림: 타일러 라쉬
150,"규칙 없음 :넷플릭스, 지구상 가장 빠르고 유연한 기업의 비밀 ","리드 헤이스팅스,이경남 옮김"
150,1Q84 :무라카미 하루키 장편소설,지은이: 무라카미 하루키 ;옮긴이: 양윤옥
150,"진이, 지니 :정유정 장편소설 ",지은이: 정유정
154,이만큼 가까이 :정세랑 장편소설 ,지은이: 정세랑
154,"여자 둘이 살고 있습니다 :혼자도 결혼도 아닌, 조립식 가족의 탄생 ","지은이: 김하나,황선우"
156,신경 끄기의 기술 :인생에서 가장 중요한것만 남기는 힘 ,마크 맨슨 지음 ;한재호 옮김
156,공간이 만든 공간 :새로운 생각은 어떻게 만들어지는가 ,유현준 지음
156,용의자 X의 헌신 - 제134회 나오키상 수상작,히가시노 게이고
156,IT 좀 아는 사람 :비전공자도 IT 전문가처럼 생각하는 법 ,"닐 메타,김고명 옮김"
160,네 이웃의 식탁 :구병모 장편소설 ,지은이: 구병모
160,파친코 :이민진 장편소설,이민진 지음 ;이미정 옮김
160,그녀는 다 계획이 있다 :히가시노 게이고 장편소설 ,지은이: 히가시노 게이고 ;옮긴이: 양윤옥
163,이기적 유전자 ,리처드 도킨스 지음 ;이상임 옮김
163,아가미 :구병모 장편소설 ,지은이: 구병모
163,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅
166,악의 :히가시노 게이고 장편소설 ,히가시노 게이고 [지음] ;양윤옥 옮김
166,연금술사,파울로 코엘료 지음;최정수 옮김
166,지적 대화를 위한 넓고 얕은 지식,채사장 지음
166,체공녀 강주룡 :박서련 장편소설 ,지은이: 박서련
166,미움받을 용기 :사랑과 진정한 자립에 대한 아들러의 가르침,"기시미 이치로,전경아 옮김"
171,하마터면 열심히 살 뻔했다 :야매 득도 에세이 ,하완 지음
171,창문 넘어 도망친 100세 노인 :요나스 요나손 장편소설 ,지은이: 요나스 요나손 ;옮긴이: 임호경
171,오직 두 사람 :김영하 소설 ,지은이: 김영하
171,(비울수록 사람을 더 채우는) 말그릇 ,김윤나 지음
175,실패를 사랑하는 직업 :요조 산문 ,지은이: 요조
175,작가들의 비밀스러운 삶 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란
175,인생은 소설이다 :기욤 뮈소 장편소설 ,지은이: 기욤 뮈소 ;옮긴이: 양영란
175,숙명 ,히가시노 게이고 지음 ;권남희 옮김
179,넛지 :똑똑한 선택을 이끄는 힘 ,"리처드 탈러,안진환 옮김"
179,천문학자는 별을 보지 않는다 ,심채경 지음
179,트라우마 사전 :작가를 위한 캐릭터 창조 가이드 ,"안젤라 애커만,임상훈 옮김"
182,"나는 풍요로웠고, 지구는 달라졌다 ",지은이: 호프 자런 ;옮긴이: 김은령
182,항구의 사랑 :김세희 장편소설 ,지은이: 김세희
182,돈으로 살 수 없는 것들 :무엇이 가치를 결정하는가 ,지은이: 마이클 샌델 ;옮긴이: 안기순
185,두 번째 엔딩 ,"지은이: 김려령,백온유"
185,내일을 위한 내 일 :이다혜 인터뷰집 ,지은이: 이다혜
185,복자에게 :김금희 장편소설 ,지은이: 김금희
185,방구석 미술관,조원재 지음
185,"박막례, 이대로 죽을 순 없다 :독보적 유튜버 박막례와 천재 PD 손녀 김유라의 말도 안 되게 뒤집힌 신나는 인생! ","박막례,김유라 지음"
190,버드 스트라이크 :구병모 장편소설 ,지은이: 구병모
190,요리코를 위해 :노리즈키 린타로 장편소설 ,지은이: 노리즈키 린타로 ;옮긴이: 이기웅
190,아침에는 죽음을 생각하는 것이 좋다 ,지은이: 김영민
190,우리는 이 별을 떠나기로 했어 ,"지은이: 천선란,이루카"
190,"안녕, 소중한 사람 :정한경 에세이 ",지은이: 정한경
195,심판 ,베르나르 베르베르 지음 ;전미연 옮김
195,오베라는 남자 :프레드릭 배크만 장편소설 ,지은이: 프레드릭 배크만 ;옮긴이: 최민우
195,외국어 학습·교수의 원리 ,지은이: H. Douglas Brown ;이성희
195,열두 발자국 ,지은이: 정재승
199,나의 월급 독립 프로젝트 :3년 만에 30억 벌고 퇴사한 슈퍼개미의 실전 주식투자 생중계 ,유목민 지음
199,미 비포 유 ,조조 모예스 지음 ;김선형 옮김
